2025-07-25 00:36:38,cell phone,56.69,Time,Label,Confidence
2025-07-25 00:36:39,cell phone,37.96,,,
2025-07-25 00:36:39,cell phone,48.16,,,
2025-07-25 00:36:39,cell phone,44.63,,,
2025-07-25 00:36:39,cell phone,53.06,,,
2025-07-25 00:36:39,cell phone,63.19,,,
2025-07-25 00:36:39,cell phone,54.83,,,
2025-07-25 00:36:39,cell phone,55.65,,,
2025-07-25 00:36:39,cell phone,45.58,,,
2025-07-25 00:36:39,cell phone,39.98,,,
2025-07-25 00:36:39,cell phone,41.52,,,
2025-07-25 00:36:39,cell phone,33.36,,,
2025-07-25 00:36:40,cell phone,47.23,,,
2025-07-25 00:36:40,cell phone,44.95,,,
2025-07-25 00:36:40,cell phone,41.71,,,
2025-07-25 00:36:40,cell phone,36.38,,,
2025-07-25 00:36:40,cell phone,38.49,,,
2025-07-25 00:36:40,cell phone,40.27,,,
2025-07-25 00:36:40,cell phone,43.32,,,
2025-07-25 00:36:40,cell phone,30.63,,,
2025-07-25 00:36:40,cell phone,45.29,,,
2025-07-25 00:36:41,cell phone,50.42,,,
2025-07-25 00:36:41,cell phone,42.69,,,
2025-07-25 00:36:41,cell phone,50.86,,,
2025-07-25 00:36:41,cell phone,39.92,,,
2025-07-25 00:36:41,cell phone,37.52,,,
2025-07-25 00:36:41,cell phone,31.17,,,
2025-07-25 00:36:41,cell phone,38.74,,,
2025-07-25 00:36:41,cell phone,41.18,,,
2025-07-25 00:36:41,cell phone,32.41,,,
2025-07-25 00:36:41,cell phone,33.8,,,
2025-07-25 00:36:42,cell phone,45.81,,,
2025-07-25 00:36:42,cell phone,36.57,,,
2025-07-25 00:36:42,cell phone,33.06,,,
2025-07-25 00:36:42,cell phone,39.65,,,
2025-07-25 00:36:42,cell phone,37.12,,,
2025-07-25 00:36:42,cell phone,45.14,,,
2025-07-25 00:36:42,cell phone,30.12,,,
2025-07-25 00:36:42,cell phone,43.28,,,
2025-07-25 00:36:42,cell phone,33.58,,,
2025-07-25 00:36:43,cell phone,47.72,,,
2025-07-25 00:36:43,cell phone,47.51,,,
2025-07-25 00:36:43,cell phone,45.36,,,
2025-07-25 00:36:43,cell phone,36.23,,,
2025-07-25 00:36:43,cell phone,52.21,,,
2025-07-25 00:36:43,cell phone,35.16,,,
2025-07-25 00:36:43,cell phone,41.63,,,
2025-07-25 00:36:43,cell phone,43.18,,,
2025-07-25 00:36:43,cell phone,33.18,,,
2025-07-25 00:36:43,cell phone,31.2,,,
2025-07-25 00:36:43,cell phone,42.42,,,
2025-07-25 00:36:44,cell phone,33.03,,,
2025-07-25 00:36:44,cell phone,44.99,,,
2025-07-25 00:36:44,cell phone,42.45,,,
2025-07-25 00:36:44,cell phone,51.37,,,
2025-07-25 00:36:44,cell phone,38.45,,,
2025-07-25 00:36:44,cell phone,37.38,,,
2025-07-25 00:36:44,cell phone,44.32,,,
2025-07-25 00:36:44,cell phone,40.78,,,
2025-07-25 00:36:44,cell phone,34.29,,,
2025-07-25 00:36:44,cell phone,41.64,,,
2025-07-25 00:36:45,cell phone,35.7,,,
2025-07-25 00:36:45,cell phone,41.72,,,
2025-07-25 00:36:45,cell phone,44.73,,,
2025-07-25 00:36:45,cell phone,38.45,,,
2025-07-25 00:36:45,cell phone,32.01,,,
2025-07-25 00:36:45,cell phone,34.36,,,
